date	close
15-Jun-01	858.59
15-Jul-01	1200.43
15-Aug-01	2588.22
15-Sep-01	2066.67
15-Oct-01	1649.47
15-Nov-01	2818.75
15-Dec-01	3155.14
16-Jan-01	4887.8
16-Feb-01	2689.83
16-Mar-01	6866.58
16-Apr-01	7622.5
16-May-01	6461.82
16-Jun-01	7658.64
16-Jul-01	24181
16-Aug-01	9628.47
16-Sep-01	10103
16-Oct-01	13261.36
16-Nov-01	20617
16-Dec-01	16988
17-Jan-01	24015.9
17-Feb-01	23132.8
17-Mar-01	21319
17-Apr-01	15001.24
17-May-01	10426
17-Jun-01	16927
17-Jul-01	21101
17-Aug-01	16334.21
17-Sep-01	21183.33
17-Oct-01	17102.17
17-Nov-01	23886.1
17-Dec-01	19143.93
18-Jan-01	22020.11
18-Feb-01	21836.68
18-Mar-01	15727.88
18-Apr-01	18227.33
18-May-01	18245.71
18-Jun-01	22594.83
18-Jul-01	20254.16
18-Aug-01	18434.17
18-Sep-01	18801.8
18-Oct-01	21652.65
18-Nov-01	21424.24
18-Dec-01	17635.97
19-Jan-01	18022.6
