Month_Year,Hearts,Retweets
15-Jun,27389,18889
15-Jul,126233,82830
15-Aug,42734,23294
15-Sep,22971,12400
15-Oct,57981,28041
15-Nov,136428,67650
15-Dec,49859,22086
16-Jan,55595,24439
16-Feb,159916,61866
16-Mar,219331,82399
16-Apr,121879,45735
16-May,217186,71080
16-Jun,296771,107221
16-Jul,428250,169267
16-Aug,486757,163684
16-Sep,259141,101030
16-Oct,332975,145875
16-Nov,233124,82468
16-Dec,279620,67952
17-Jan,2058361,480318
17-Feb,502813,115664
17-Mar,108475,21319
17-Apr,1075512,255021
17-May,44843,10426
17-Jun,391985,101562
17-Jul,603377,147707
17-Aug,1398100,310350
17-Sep,1056649,254200
17-Oct,400908,102613
17-Nov,1012719,238861
17-Dec,1014065,268015
18-Jan,4910510,1167066
18-Feb,2832723,676937
18-Mar,2132940,519020
18-Apr,2905763,710866
18-May,1245155,310177
18-Jun,5880405,1446069
18-Jul,3013728,749404
18-Aug,2232704,553025
18-Sep,1107911,282027
18-Oct,4251888,1125938
18-Nov,3146945,792697
18-Dec,8110960,1922321
19-Jan,4278905,955198
