date	close
15-Jun-01	1245
15-Jul-01	1829
15-Aug-01	4748
15-Sep-01	3829
15-Oct-01	3411
15-Nov-01	5685
15-Dec-01	7123
16-Jan-01	11119
16-Feb-01	6953
16-Mar-01	18278
16-Apr-01	20313
16-May-01	19744
16-Jun-01	21198
16-Jul-01	61179
16-Aug-01	28633
16-Sep-01	25914
16-Oct-01	30270
16-Nov-01	58281
16-Dec-01	69905
17-Jan-01	102918
17-Feb-01	100563
17-Mar-01	108475
17-Apr-01	63265
17-May-01	44843
17-Jun-01	65331
17-Jul-01	86197
17-Aug-01	73584
17-Sep-01	88054
17-Oct-01	66818
17-Nov-01	101272
17-Dec-01	72433
18-Jan-01	92651
18-Feb-01	91378
18-Mar-01	64635
18-Apr-01	74507
18-May-01	73244
18-Jun-01	91881
18-Jul-01	81452
18-Aug-01	74423
18-Sep-01	73861
18-Oct-01	81767
18-Nov-01	85053
18-Dec-01	74412
19-Jan-01	80734
